participant,n_trials,complete_ratings,has_engagement,has_ai_usage,has_familiarity,exclude,duration,progress,finished,age_band,gender,colour_vision,familiarity,engagement,engagement_z,engagement_hi,engagement_lo,engagement_group,engagement_7item,engagement_7item_z,ai_usage,ai_usage_z,dist_none,dist_human,dist_ai,rating_none,rating_human,rating_ai,slope_none,slope_human,slope_ai,sd_none,sd_human,sd_ai
R_822VmkJYx8ecoav,27,yes,yes,yes,yes,,380,100,True,18-24 years old,Female,"No, I am not colourblind",1.0,1.3333333333333333,1.26723450463563,0.2672345046356299,2.26723450463563,high,1.2857,0.8529,0.375,-0.3318,4.2222,2.4444,3.5556,3.4444,5.2222,4.5556,0.1512,0.1111,-0.1578,3.0046,1.6415,2.2423
R_2tRLCpeFcC3EOgV,27,yes,yes,yes,yes,,326,100,True,18-24 years old,Male,"No, I am not colourblind",1.0,0.3333333333333333,-0.7183686045386691,-1.7183686045386692,0.2816313954613308,low,0.2857,-1.2129,0.75,0.4361,2.3333,3.6667,2.4444,7.3333,5.4444,6.4444,-0.0208,-0.266,0.174,1.5811,1.9437,1.5092
R_2ppgG2LnD3nQBdD,27,yes,yes,yes,yes,,463,100,True,25-34 years old,Non-binary / third gender,"No, I am not colourblind",1.0,1.1666666666666667,0.9363006531065804,-0.0636993468934197,1.9363006531065805,high,1.4286,1.1481,0.0,-1.0998,3.8889,3.3333,2.6667,4.4444,4.4444,4.7778,0.0714,0.0152,0.4178,2.5055,2.651,2.6822
R_2v5NX9EEkkc5ipR,27,yes,yes,yes,yes,,312,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,1.0,0.2627,0.375,-0.3318,2.0,2.7778,2.8889,4.0,4.5556,5.1111,0.0947,0.2046,0.1002,2.1794,1.8105,2.2048
R_2EK15fVamtXjVeW,27,yes,yes,yes,yes,,338,100,True,18-24 years old,Female,"No, I am not colourblind",1.0,0.1666666666666666,-1.049302456067719,-2.049302456067719,-0.0493024560677191,low,0.7143,-0.3275,0.875,0.6921,4.4444,1.7778,4.0,5.3333,3.1111,2.6667,-0.3482,0.464,0.375,1.8708,2.2608,1.8708
R_8Mfn6laZowh0v6h,27,yes,yes,yes,yes,,522,100,True,55-64 years old,Female,"No, I am not colourblind",1.0,0.0,-1.3802363075967687,-2.3802363075967685,-0.3802363075967687,low,0.5714,-0.6227,0.0,-1.0998,3.3333,2.3333,2.0,3.6667,4.8889,5.2222,0.0238,-0.2157,-0.0833,0.7071,1.0541,0.8333
R_8xyetD1WjvLj5Gp,27,yes,yes,yes,yes,,370,100,True,25-34 years old,Male,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,1.0,0.2627,0.0,-1.0998,4.1111,2.2222,2.4444,4.8889,5.1111,4.6667,-0.227,0.2475,0.012,1.7638,1.1667,0.866
R_2uU4BtqYvu4gHNf,27,yes,yes,yes,yes,,442,100,True,35-44 years old,Female,"No, I am not colourblind",1.0,0.8333333333333334,0.2744329500484805,-0.7255670499515194,1.2744329500484806,high,0.7143,-0.3275,0.625,0.1801,2.6667,2.7778,2.7778,5.5556,4.4444,4.7778,-0.1092,-0.1724,0.3642,1.8782,1.0138,1.9221
R_2lz5SKex1SRVslW,27,yes,yes,yes,yes,,254,100,True,25-34 years old,Female,"No, I am not colourblind",3.0,0.8333333333333334,0.2744329500484805,-0.7255670499515194,1.2744329500484806,high,0.7143,-0.3275,0.125,-0.8438,3.5556,2.6667,2.3333,5.3333,4.4444,5.0,-0.014,0.0238,0.2632,2.1213,2.2973,1.9365
R_8iqjet50gkEC9XH,27,yes,yes,yes,yes,,524,100,True,18-24 years old,Male,"No, I am not colourblind",1.0,1.1666666666666667,0.9363006531065804,-0.0636993468934197,1.9363006531065805,high,1.5714,1.4431,0.375,-0.3318,1.8889,3.7778,2.5556,5.5556,6.4444,6.0,0.4266,0.0491,-0.1429,1.6667,1.6667,1.7321
